Temperature,Humidity,Rain,Wind
91.21,43,0,3.03
90.49,51,0,4.12
90.75,59,0,4.09
90.74,58,0,2.77
92.7,51,0,1.99
94.68,42,0,2.45
92.17,48,0,2.49
90.84,47,0,2.76
86.82,44,0,2.09
86.6,50,0,2.71
82.05,63,0,2.28
79.41,80,0.01,1.69
78.06,85,0,1.31
78.43,79,0.03,1.83
79.08,72,0,1.53
82.74,54,0,1.3
85.25,52,0,2.66
85.25,57,0,3.16
86.12,66,0,2.59
87.02,63,0,2.76
88.79,64,0,3.25
89.76,60,0,3.68
86.67,68,0,2
84.07,65,0,1.9
83.38,59,0,1.2
83.34,64,0,1.41
84.49,58,0,1.8
84.1,63,0,1.97
82.61,58,0,2.2
82.33,54,0,2
82.05,59,0,1.86
84.78,73,0,2.38
77.42,80,0.02,2.46
76.04,70,0,2.23
72.03,47,0,2.8
66.77,47,0,1.36
69.35,52,0,2.25
69.89,75,0,2.18
68.36,91,0,2.41
70.18,86,0,2.37
78.88,76,0,2.1
72.16,33,0,3.16
64.94,40,0,2.85
61.74,50,0,2.5
60.33,51,0,1.21
65.5,52,0,2.41
72.05,54,0,2.14
73.21,37,0,1.51
75.58,38,0,1.26
77.98,63,0,1.97
75.43,84,0.03,2.64
74.84,89,0.01,3.11
76.78,86,0.11,3.3
76.63,91,0.2,2.27
77.63,89,0.08,1.79
77.68,88,0.01,2.15
69.56,90,0.01,2.98
43.75,84,0.01,5.29
48.99,55,0,3.18
47.28,63,0,1.37
48.71,63,0,1.08
58.78,69,0,1.73
65.97,78,0,1.62
67.43,79,0,1.44
70.73,78,0,2.26
72.23,77,0,2.32
72.9,81,0,2.29
71.51,88,0.01,1.65
56.53,91,0.02,3.37
56.92,88,0,2.11
59.05,89,0,1.06
58.52,84,0.01,1.87
62.27,72,0,1.54
60.21,76,0,1.11
57.28,84,0,0.95
62.08,85,0,1.57
64.5,81,0,1.86
61.63,91,0,0.98
69.73,84,0,1.81
59.24,59,0,4.27
51.71,54,0,1.7
49.4,67,0,1.52
51.92,76,0,1.28
51.76,73,0,1.01
53.95,69,0.02,3.2
46.34,57,0,1.66
51.92,53,0,0.9
51.29,60,0,1.36
62.75,85,0.01,2.24
60.5,73,0,1.56
56.34,64,0,1.71
57.58,53,0,1.48
57.72,41,0,1.94
